,CellID,ExpType,RecMode,Sweep,SweepCount,Peak,Tail,AvgPeak,AvgTail,AmpNARatioDepol,AmpNARatioMgFree,,,,
42,20101125C2,MgFree,EPSC70MinusPre,4,4,-172.3856,-2.269118,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
43,20101125C2,MgFree,EPSC70MinusPre,5,5,-129.0955,-2.105625,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
44,20101125C2,MgFree,EPSC70MinusPre,6,6,-110.227,-2.148528,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
45,20101125C2,MgFree,EPSC70MinusPre,7,7,-81.67037,0.4767352,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
46,20101125C2,MgFree,EPSC70MinusPre,8,8,-89.39455,-1.956735,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
47,20101125C2,MgFree,EPSC70MinusPre,9,9,-83.83972,-1.995471,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
48,20101125C2,MgFree,EPSC70MinusPre,10,10,-80.0755,-0.3234519,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
49,20101125C2,MgFree,EPSC70MinusPre,11,11,-103.6534,-0.93141,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
50,20101125C2,MgFree,EPSC70MinusPre,12,12,-107.1311,-0.05741554,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
51,20101125C2,MgFree,EPSC70MinusPre,13,13,-87.87469,-1.141957,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
52,20101125C2,MgFree,EPSC70MinusPre,14,14,-102.7248,-1.563613,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
53,20101125C2,MgFree,EPSC70MinusPre,15,15,-156.0024,-5.731847,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
54,20101125C2,MgFree,EPSC70MinusPre,16,16,-127.2341,-2.713597,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
55,20101125C2,MgFree,EPSC70MinusPre,17,17,-60.28511,-2.516146,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
56,20101125C2,MgFree,EPSC70MinusPre,18,18,-157.7712,-1.29935,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
57,20101125C2,MgFree,EPSC70MinusPre,19,19,-84.7675,-1.341941,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
58,20101125C2,MgFree,EPSC70MinusPre,20,20,-105.1277,-0.6320713,-106.763378,-1.561930972,0.6956762796,0.3549368773,,,,
59,20101125C2,MgFree,EPSC70MinusCNQMgFree,12,1,-51.71075,-11.11535,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
60,20101125C2,MgFree,EPSC70MinusCNQMgFree,13,2,-50.97247,-20.42098,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
61,20101125C2,MgFree,EPSC70MinusCNQMgFree,14,3,-43.8688,-11.31395,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
62,20101125C2,MgFree,EPSC70MinusCNQMgFree,15,4,-38.11674,-14.39811,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
63,20101125C2,MgFree,EPSC70MinusCNQMgFree,16,5,-32.02251,-10.82825,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
64,20101125C2,MgFree,EPSC70MinusCNQMgFree,17,6,-36.04974,-9.338795,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
65,20101125C2,MgFree,EPSC70MinusCNQMgFree,18,7,-38.47832,-13.37905,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
66,20101125C2,MgFree,EPSC70MinusCNQMgFree,19,8,-49.5487,-17.87399,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
67,20101125C2,MgFree,EPSC70MinusCNQMgFree,20,9,-31.19949,-13.29815,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
68,20101125C2,MgFree,EPSC70MinusCNQMgFree,21,10,-40.52358,-12.18294,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
69,20101125C2,MgFree,EPSC70MinusCNQMgFree,22,11,-43.99899,-13.04174,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
70,20101125C2,MgFree,EPSC70MinusCNQMgFree,23,12,-42.05719,-14.9978,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
71,20101125C2,MgFree,EPSC70MinusCNQMgFree,24,13,-35.74758,-9.345386,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
72,20101125C2,MgFree,EPSC70MinusCNQMgFree,25,14,-41.97626,-14.81505,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
73,20101125C2,MgFree,EPSC70MinusCNQMgFree,26,15,-34.04396,-9.8454,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
74,20101125C2,MgFree,EPSC70MinusCNQMgFree,27,16,-29.69837,-10.31632,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
75,20101125C2,MgFree,EPSC70MinusCNQMgFree,28,17,-29.4157,-9.463303,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
76,20101125C2,MgFree,EPSC70MinusCNQMgFree,29,18,-36.70378,-12.15232,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
77,20101125C2,MgFree,EPSC70MinusCNQMgFree,30,19,-26.42677,-7.355101,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
78,20101125C2,MgFree,EPSC70MinusCNQMgFree,31,20,-25.3255,-9.668441,-37.89426,-12.2575213,0.6956762796,0.3549368773,,,,
79,20101126C1,MgFree,EPSC70MinusPre,13,1,-27.13539,-0.9602894,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
80,20101126C1,MgFree,EPSC70MinusPre,14,2,-51.70688,-1.122673,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
81,20101126C1,MgFree,EPSC70MinusPre,15,3,-55.54132,-0.3383506,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
82,20101126C1,MgFree,EPSC70MinusPre,16,4,-55.59305,-0.8365615,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
83,20101126C1,MgFree,EPSC70MinusPre,17,5,-99.05844,-1.031587,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
84,20101126C1,MgFree,EPSC70MinusPre,18,6,-97.96609,-1.972745,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
85,20101126C1,MgFree,EPSC70MinusPre,19,7,-42.55872,-0.7836762,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
86,20101126C1,MgFree,EPSC70MinusPre,20,8,-28.87276,-0.4847865,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
87,20101126C1,MgFree,EPSC70MinusPre,21,9,-45.60714,-1.175959,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
88,20101126C1,MgFree,EPSC70MinusPre,22,10,-46.37324,-0.04871246,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
89,20101126C1,MgFree,EPSC70MinusPre,23,11,-76.76973,-1.395917,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
90,20101126C1,MgFree,EPSC70MinusPre,24,12,-51.37077,-1.728255,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
91,20101126C1,MgFree,EPSC70MinusPre,25,13,-43.22939,-0.7903727,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
92,20101126C1,MgFree,EPSC70MinusPre,26,14,-79.55623,-1.389639,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
93,20101126C1,MgFree,EPSC70MinusPre,27,15,-112.4157,-1.97734,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
94,20101126C1,MgFree,EPSC70MinusPre,29,16,-45.57566,-2.430803,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
95,20101126C1,MgFree,EPSC70MinusPre,30,17,-36.00674,-1.724936,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
96,20101126C1,MgFree,EPSC70MinusPre,30,18,-36.00674,-1.724936,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
97,20101126C1,MgFree,EPSC70MinusPre,30,19,-36.00674,-1.724936,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
98,20101126C1,MgFree,EPSC70MinusPre,31,20,-49.86714,-0.1977535,-55.8608935,-1.192011443,0.4757873844,0.2427486655,,,,
99,20101126C1,MgFree,EPSC70MinusCNQMgFree,27,1,-10.94498,-3.718036,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
100,20101126C1,MgFree,EPSC70MinusCNQMgFree,28,2,-14.19387,-3.609428,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
101,20101126C1,MgFree,EPSC70MinusCNQMgFree,29,3,-17.67225,-5.324737,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
102,20101126C1,MgFree,EPSC70MinusCNQMgFree,30,4,-11.36258,-1.446838,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
103,20101126C1,MgFree,EPSC70MinusCNQMgFree,31,5,-13.7375,-6.859061,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
104,20101126C1,MgFree,EPSC70MinusCNQMgFree,32,6,-12.37253,-2.359117,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
105,20101126C1,MgFree,EPSC70MinusCNQMgFree,33,7,-27.39841,-9.498703,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
106,20101126C1,MgFree,EPSC70MinusCNQMgFree,34,8,-14.62641,-5.414457,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
107,20101126C1,MgFree,EPSC70MinusCNQMgFree,35,9,-9.892217,-0.5614755,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
108,20101126C1,MgFree,EPSC70MinusCNQMgFree,36,10,-11.20326,-1.805799,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
109,20101126C1,MgFree,EPSC70MinusCNQMgFree,37,11,-11.49177,-2.9846,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
110,20101126C1,MgFree,EPSC70MinusCNQMgFree,38,12,-16.74367,-5.939366,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
111,20101126C1,MgFree,EPSC70MinusCNQMgFree,39,13,-8.675008,-1.595548,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
112,20101126C1,MgFree,EPSC70MinusCNQMgFree,40,14,-9.99104,-2.458188,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
113,20101126C1,MgFree,EPSC70MinusCNQMgFree,41,15,-14.19834,-2.257731,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
114,20101126C1,MgFree,EPSC70MinusCNQMgFree,42,16,-14.38519,-3.927681,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
115,20101126C1,MgFree,EPSC70MinusCNQMgFree,43,17,-11.5931,-3.01273,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
116,20101126C1,MgFree,EPSC70MinusCNQMgFree,44,18,-16.48035,-5.813243,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
117,20101126C1,MgFree,EPSC70MinusCNQMgFree,45,19,-9.086312,-2.748736,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
118,20101126C1,MgFree,EPSC70MinusCNQMgFree,46,20,-15.15436,-2.656644,-13.56015735,-3.699605925,0.4757873844,0.2427486655,,,,
119,20101126C2,MgFree,EPSC70MinusPre,1,1,-81.49134,-0.8160948,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
120,20101126C2,MgFree,EPSC70MinusPre,2,2,-86.09168,-2.194423,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
121,20101126C2,MgFree,EPSC70MinusPre,3,3,-102.3701,-2.990293,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
122,20101126C2,MgFree,EPSC70MinusPre,4,4,-72.57148,-1.933399,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
123,20101126C2,MgFree,EPSC70MinusPre,5,5,-62.73611,-1.253928,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
124,20101126C2,MgFree,EPSC70MinusPre,6,6,-129.9977,-3.325568,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
125,20101126C2,MgFree,EPSC70MinusPre,7,7,-92.29884,-2.416222,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
126,20101126C2,MgFree,EPSC70MinusPre,8,8,-107.7912,0.1322184,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
127,20101126C2,MgFree,EPSC70MinusPre,9,9,-87.51533,-1.019165,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
128,20101126C2,MgFree,EPSC70MinusPre,10,10,-113.8731,-4.351904,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
129,20101126C2,MgFree,EPSC70MinusPre,11,11,-61.02425,-1.899986,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
130,20101126C2,MgFree,EPSC70MinusPre,12,12,-107.4803,-2.671024,-92.1034525,-2.0616490333,3.1364203095,1.6002144436,,,,
131,20101126C2,MgFree,EPSC70MinusCNQMgFree,13,1,-118.4844,-31.81774,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
132,20101126C2,MgFree,EPSC70MinusCNQMgFree,14,2,-118.0237,-30.08709,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
133,20101126C2,MgFree,EPSC70MinusCNQMgFree,15,3,-101.3219,-29.89473,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
134,20101126C2,MgFree,EPSC70MinusCNQMgFree,16,4,-115.9925,-40.48927,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
135,20101126C2,MgFree,EPSC70MinusCNQMgFree,17,5,-105.0851,-34.72737,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
136,20101126C2,MgFree,EPSC70MinusCNQMgFree,18,6,-151.8525,-31.36126,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
137,20101126C2,MgFree,EPSC70MinusCNQMgFree,19,7,-148.7503,-46.77994,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
138,20101126C2,MgFree,EPSC70MinusCNQMgFree,20,8,-118.9543,-35.26031,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
139,20101126C2,MgFree,EPSC70MinusCNQMgFree,21,9,-154.2463,-48.3257,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
140,20101126C2,MgFree,EPSC70MinusCNQMgFree,22,10,-135.5732,-42.85078,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
141,20101126C2,MgFree,EPSC70MinusCNQMgFree,23,11,-187.5565,-54.92808,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
142,20101126C2,MgFree,EPSC70MinusCNQMgFree,24,12,-115.7521,-51.47743,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
143,20101126C2,MgFree,EPSC70MinusCNQMgFree,25,13,-180.3858,-55.11545,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
144,20101126C2,MgFree,EPSC70MinusCNQMgFree,26,14,-148.6271,-46.20438,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
145,20101126C2,MgFree,EPSC70MinusCNQMgFree,27,15,-149.6013,-61.82724,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
146,20101126C2,MgFree,EPSC70MinusCNQMgFree,29,16,-126.7698,-71.17585,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
147,20101126C2,MgFree,EPSC70MinusCNQMgFree,30,17,-176.5156,-52.75252,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
148,20101126C2,MgFree,EPSC70MinusCNQMgFree,31,18,-142.5575,-68.59713,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
149,20101126C2,MgFree,EPSC70MinusCNQMgFree,32,19,-276.1646,-107.6664,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
150,20101126C2,MgFree,EPSC70MinusCNQMgFree,33,20,-175.491,-104.2984,-147.385275,-52.2818535,3.1364203095,1.6002144436,,,,
